Region,Date,Estimated_fire_area,Mean_estimated_fire_brightness,Mean_estimated_fire_radiative_power,Mean_confidence,Std_confidence,Var_confidence,Count,Replaced
NSW,1/4/2005,26.04,312.2666667,42.4,78.66666667,2.886751346,8.333333333,3,R
NSW,1/5/2005,132.89,322.475,62.3625,85.5,8.088792953,65.42857143,8,R
NSW,1/6/2005,16.56,325.2666667,38.4,78.33333333,3.214550254,10.33333333,3,R
NSW,1/7/2005,31.32,313.87,33.8,92.2,7.529940239,56.7,5,R
NSW,1/8/2005,16.2,337.3833333,122.5333333,91,7.937253933,63,3,R
NSW,1/9/2005,96.05,314.7571429,64.54285714,83.14285714,6.175990377,38.14285714,7,R
NSW,1/10/2005,182.88,324.8,58.55454545,91.45454545,6.088737741,37.07272727,11,R
NSW,1/11/2005,524.55,318.446875,66.8125,91,10.1324561,102.6666667,16,R
NSW,1/12/2005,214.32,323.2384615,40.60769231,87.76923077,8.623164985,74.35897436,13,R
NSW,1/13/2005,639.6,325.3766667,87.57333333,86.66666667,7.499206307,56.23809524,15,R
NSW,1/14/2005,371.2,324.835,98.65,88.3,7.087547766,50.23333333,10,R
NSW,1/15/2005,17.2,326.9625,23.5,81.75,4.924428901,24.25,4,R
NSW,1/16/2005,23.94,342.2833333,241.0666667,96.33333333,6.350852961,40.33333333,3,R
NSW,1/17/2005,22,331.325,77.9,88.5,10.24695077,105,4,R
NSW,1/18/2005,128.75,319.3555556,44.44444444,86.77777778,7.446102635,55.44444444,9,R
NSW,1/19/2005,33.5,307.1375,50.125,96.75,5.852349955,34.25,4,R
NSW,1/20/2005,193.6,314.76875,130.325,88.5,6.782329983,46,8,R
NSW,1/21/2005,46.08,317.2833333,30.83333333,93.5,8.734987121,76.3,6,R
NSW,1/22/2005,16,336.35,85.475,85.5,9.746794345,95,4,R
NSW,1/25/2005,9,334.8,118.65,89.5,10.60660172,112.5,2,R
NSW,1/26/2005,158.55,303.78125,35.75,91.625,6.435115717,41.41071429,8,R
NSW,1/27/2005,170.2,305.9888889,36.11111111,96.55555556,4.362084109,19.02777778,9,R
NSW,1/28/2005,90.1,318.55,43.45714286,88.28571429,8.635475006,74.57142857,7,R
NSW,1/29/2005,341.26,319.5227273,92.24545455,93.18181818,10.01816532,100.3636364,11,R
NSW,1/30/2005,85.49,320.6785714,48.3,89.85714286,7.312741652,53.47619048,7,R
NSW,1/31/2005,50.92,331.15,50.86666667,91.33333333,6.742897498,45.46666667,6,R
NSW,2/1/2005,19.76,319.3833333,40.1,81,2.645751311,7,3,R
NSW,2/3/2005,9.6,304.7333333,28.36666667,92.33333333,8.020806277,64.33333333,3,R
NSW,2/4/2005,52.54,329.0214286,34.14285714,83.28571429,5.313952883,28.23809524,7,R
NSW,2/5/2005,282.58,321.4181818,61.27272727,84.81818182,8.600211414,73.96363636,11,R
NSW,2/6/2005,144.3,333.75,84.6,92.1,8.659612514,74.98888889,10,R
NSW,2/7/2005,250.98,327.0583333,51.975,84.08333333,7.140898,50.99242424,12,R
NSW,2/8/2005,108.78,331.1611111,180.3666667,94.88888889,7.025746303,49.36111111,9,R
NSW,2/10/2005,85.14,305.5125,19.8625,88.25,8.811518436,77.64285714,8,R
NSW,2/11/2005,98.88,332.7055556,72.38888889,90.66666667,7.95298686,63.25,9,R
NSW,2/12/2005,107.67,321.5222222,67.21111111,89,9.733961167,94.75,9,R
NSW,2/13/2005,12.92,310.2666667,26.56666667,89.66666667,9.291573243,86.33333333,3,R
NSW,2/14/2005,4,323.25,21,81.5,0.707106781,0.5,2,R
NSW,2/15/2005,37.05,336.66,69.94,90,9.591663047,92,5,R
NSW,2/16/2005,77.28,316.525,36.8625,85.375,8.584662403,73.69642857,8,R
NSW,2/17/2005,369,316.6615385,60.43076923,85.23076923,6.084869845,37.02564103,13,R
NSW,2/18/2005,174.66,335.8636364,135.4727273,90.09090909,8.870789654,78.69090909,11,R
NSW,2/19/2005,283.22,329.5857143,422.8,94.42857143,6.051367417,36.61904762,7,R
NSW,2/21/2005,307.34,318.3357143,244.2285714,83.85714286,9.685531674,93.80952381,7,R
NSW,2/22/2005,223.2,317.4107143,27.15714286,87.5,8.83829082,78.11538462,14,R
NSW,2/23/2005,1845.52,323.8485714,57.87428571,89.05714286,8.174360407,66.82016807,35,R
NSW,2/24/2005,54.4,319.3583333,55.8,83.66666667,6.121002097,37.46666667,6,R
NSW,2/25/2005,4,345.775,177.95,89.5,14.8492424,220.5,2,R
NSW,2/26/2005,1,303.15,8,79,,,1,R
NSW,2/28/2005,1909.44,319.014,65.976,86.4,7.921489759,62.75,25,R
NSW,3/1/2005,2253.44,330.2719512,70.99268293,90.36585366,8.717098421,75.98780488,41,R
NSW,3/2/2005,3394.5,318.7741379,130.5137931,83.96551724,6.700121314,44.89162562,29,R
NSW,3/3/2005,386.4,328.0529412,97.00588235,87.47058824,9.37495098,87.88970588,17,R
NSW,3/4/2005,2290.4,327.4439394,143.7333333,91.90909091,7.747433593,60.02272727,33,R
NSW,3/5/2005,592.45,318.690625,80.775,85.9375,7.646077426,58.4625,16,R
NSW,3/6/2005,60.68,331.7785714,55.12857143,90.85714286,7.646972635,58.47619048,7,R
NSW,3/7/2005,1586.3,323.4666667,163.8833333,87.72222222,6.332043212,40.09477124,18,R
NSW,3/8/2005,1082.28,329.3672414,59.68965517,87.93103448,9.490337321,90.06650246,29,R
