Region,Date,Vegetation_index_mean,Vegetation_index_max,Vegetation_index_min,Vegetation_index_std,Vegetation_index_variance
NSW,1/1/2005,0.349202013,0.997199953,-0.199999988,0.204861658,0.041968299
NSW,2/1/2005,0.35740272,0.977199972,-0.199999988,0.208672808,0.043544341
NSW,3/1/2005,0.354086901,0.974999964,-0.199999988,0.209450457,0.043869494
NSW,4/1/2005,0.347242212,0.990399957,-0.199999988,0.207306677,0.042976058
NSW,5/1/2005,0.345525727,0.997199953,-0.199999988,0.202858051,0.041151389
NSW,6/1/2005,0.399652424,0.960199952,-0.199999988,0.188569978,0.035558637
NSW,7/1/2005,0.451143018,0.955499947,-0.199999988,0.174266677,0.030368875
NSW,8/1/2005,0.498218123,0.978199959,-0.199999988,0.181103059,0.032798318
NSW,9/1/2005,0.505553223,0.980499983,-0.199999988,0.204202021,0.041698465
NSW,10/1/2005,0.439442725,0.981399953,-0.199999988,0.214670716,0.046083517
NSW,11/1/2005,0.393166262,0.99149996,-0.199999988,0.20618776,0.042513392
NSW,12/1/2005,0.358580378,0.966099977,-0.199999988,0.192283881,0.036973091
NSW,1/1/2006,0.359218254,0.992999971,-0.199999988,0.206632811,0.042697118
NSW,2/1/2006,0.358147686,0.97329998,-0.199999988,0.205099252,0.042065703
NSW,3/1/2006,0.363126396,0.973999977,-0.199999988,0.207308856,0.042976962
NSW,4/1/2006,0.36618038,0.98269999,-0.199999988,0.203730693,0.041506195
NSW,5/1/2006,0.362763503,0.985699952,-0.199999988,0.201277621,0.040512681
NSW,6/1/2006,0.387080326,0.986699998,-0.199999988,0.193259918,0.037349396
NSW,7/1/2006,0.444227353,0.974599957,-0.199999988,0.177458841,0.03149164
NSW,8/1/2006,0.447574744,0.979999959,-0.199999988,0.180443728,0.032559939
NSW,9/1/2006,0.390498782,0.974999964,-0.199999988,0.183938364,0.033833322
NSW,10/1/2006,0.331553543,0.992199957,-0.199999988,0.179786505,0.032323187
NSW,11/1/2006,0.316723031,0.989899993,-0.199999988,0.181054716,0.03278081
NSW,12/1/2006,0.309377259,0.979999959,-0.199999988,0.180071633,0.032425793
NSW,1/1/2007,0.30968594,0.986799955,-0.199999988,0.179098249,0.032076183
NSW,2/1/2007,0.32129933,0.97179997,-0.199999988,0.185191393,0.034295852
NSW,3/1/2007,0.363577951,0.976399958,-0.199999988,0.214540623,0.046027679
NSW,4/1/2007,0.361579566,0.98089999,-0.199999988,0.208313068,0.043394334
NSW,5/1/2007,0.434657675,0.979999959,-0.199999988,0.193038653,0.037263921
NSW,6/1/2007,0.487715006,0.968699992,-0.199999988,0.185326156,0.034345784
NSW,7/1/2007,0.491834618,0.973549962,-0.199999988,0.185913203,0.034563719
NSW,8/1/2007,0.467584916,0.979699969,-0.199999988,0.206939038,0.042823765
NSW,9/1/2007,0.397514088,0.95449996,-0.199999988,0.199675839,0.039870441
NSW,10/1/2007,0.344548323,0.95449996,-0.199999988,0.188172277,0.035408806
NSW,11/1/2007,0.339336839,0.99939996,-0.199999988,0.202490149,0.04100226
NSW,12/1/2007,0.374419783,0.982899964,-0.199999988,0.206996619,0.0428476
NSW,1/1/2008,0.397123669,0.997500002,-0.199999988,0.212198625,0.045028257
NSW,2/1/2008,0.411934679,0.966099977,-0.199999988,0.214101716,0.045839545
NSW,3/1/2008,0.382396232,0.975099981,-0.199999988,0.208468829,0.043459253
NSW,4/1/2008,0.37216764,0.977499962,-0.199999988,0.207733435,0.04315318
NSW,5/1/2008,0.376230218,0.969599962,-0.199999988,0.205264387,0.042133469
NSW,6/1/2008,0.40901694,0.986899972,-0.199999988,0.200824662,0.040330545
NSW,7/1/2008,0.418643882,0.969599962,-0.199999988,0.196487999,0.038607534
NSW,8/1/2008,0.41457621,0.985099971,-0.199999988,0.202581269,0.04103917
NSW,9/1/2008,0.411677411,0.976699948,-0.199999988,0.209861464,0.044041834
NSW,10/1/2008,0.360082019,0.966600001,-0.199999988,0.202157598,0.040867694
NSW,11/1/2008,0.349936231,0.997599959,-0.199999988,0.205124467,0.042076047
NSW,12/1/2008,0.356946658,0.944966674,-0.199999988,0.202831549,0.041140637
NSW,1/1/2009,0.331997751,1.051999927,-0.257200003,0.195517992,0.038227285
NSW,2/1/2009,0.340742836,0.972899973,-0.215199992,0.200091823,0.040036738
NSW,3/1/2009,0.362675768,1.019899964,-0.254000008,0.208690711,0.043551813
NSW,4/1/2009,0.374520704,0.970099986,-0.218649998,0.211049236,0.04454178
NSW,5/1/2009,0.398389494,0.97329998,-0.284700006,0.212756909,0.045265502
NSW,6/1/2009,0.445159305,0.995899975,-0.222199991,0.202705682,0.041089594
NSW,7/1/2009,0.475210666,0.967199981,-0.257999986,0.202365271,0.040951703
NSW,8/1/2009,0.45326355,1.012899995,-0.231999993,0.210060574,0.044125445
NSW,9/1/2009,0.389030681,1.004699945,-0.272199988,0.198573855,0.039431576
NSW,10/1/2009,0.339985519,0.970299959,-0.245249987,0.192223251,0.036949778
NSW,11/1/2009,0.314231173,0.970099986,-0.221499994,0.183808002,0.033785382
NSW,12/1/2009,0.334200678,0.967199981,-0.222233325,0.181603882,0.03297997
NSW,1/1/2010,0.364241593,1.031999946,-0.281499982,0.208677093,0.043546129
NSW,2/1/2010,0.419925707,0.988499999,-0.220049992,0.210188885,0.044179367
NSW,3/1/2010,0.451852377,1.057600021,-0.256899983,0.193561694,0.037466129
NSW,4/1/2010,0.444067434,1.044999957,-0.262400001,0.196486552,0.038606965
NSW,5/1/2010,0.443009885,1.060299993,-0.256999999,0.192665145,0.037119858
NSW,6/1/2010,0.468602732,1.041499972,-0.316199988,0.186927585,0.034941922
NSW,7/1/2010,0.496835022,1.092199922,-0.239599988,0.190673847,0.036356516
NSW,8/1/2010,0.523177276,0.96419996,-0.300599992,0.193403949,0.037405088
NSW,9/1/2010,0.526983532,1.003000021,-0.233249992,0.192905295,0.037212453
NSW,10/1/2010,0.487569799,0.942749977,-0.250750005,0.194841405,0.037963173
NSW,11/1/2010,0.451908095,1.054099917,-0.272300005,0.186892311,0.034928736
NSW,12/1/2010,0.462591429,0.965999961,-0.244799986,0.18019549,0.032470415
NSW,1/1/2011,0.447797872,1.004699945,-0.268399984,0.182956198,0.03347297
NSW,2/1/2011,0.473266736,1.104200006,-0.298199981,0.174529528,0.030460556
NSW,3/1/2011,0.48695363,1.054299951,-0.297299981,0.182069704,0.033149377
NSW,4/1/2011,0.483529651,1.05129993,-0.317900002,0.18528406,0.034330183
NSW,5/1/2011,0.468125291,1.098099947,-0.303799987,0.185601874,0.034448056
NSW,6/1/2011,0.46143888,1.102399945,-0.302100003,0.182825759,0.033425258
NSW,7/1/2011,0.459491124,1.101099968,-0.285299987,0.182751726,0.033398193
NSW,8/1/2011,0.469058002,0.976699948,-0.223549992,0.186620818,0.03482733
NSW,9/1/2011,0.45360203,1.09070003,-0.337099999,0.191915695,0.036831634
NSW,10/1/2011,0.420563327,1.004199982,-0.271099985,0.191583795,0.03670435
NSW,11/1/2011,0.404595163,1.025099993,-0.287599981,0.196639854,0.038667232
NSW,12/1/2011,0.42570449,0.986899972,-0.207366675,0.187055298,0.034989685
NSW,1/1/2012,0.392460991,1.102800012,-0.320600003,0.179355684,0.032168462
NSW,2/1/2012,0.446051479,0.966600001,-0.217950001,0.199586793,0.039834888
NSW,3/1/2012,0.499478857,0.98939997,-0.225449994,0.184381405,0.033996502
NSW,4/1/2012,0.487111597,1.032599926,-0.232049987,0.185657499,0.034468707
NSW,5/1/2012,0.468868395,1.050099969,-0.226149991,0.18590173,0.034559453
NSW,6/1/2012,0.470095199,1.067899942,-0.260399997,0.184400011,0.034003364
NSW,7/1/2012,0.477545473,0.984200001,-0.257499993,0.182219235,0.033203849
NSW,8/1/2012,0.461503757,0.964899957,-0.272799999,0.180230874,0.032483168
NSW,9/1/2012,0.437116166,0.976399958,-0.246849999,0.180564523,0.032603547
NSW,10/1/2012,0.385839444,0.934699953,-0.237949997,0.175238665,0.03070859
NSW,11/1/2012,0.351425837,1.045499921,-0.2491,0.177446977,0.03148743
