Region,Date,Estimated_fire_area
NSW,2/1/2021,0
NSW,2/2/2021,3.63
NSW,2/3/2021,3.22
NSW,2/4/2021,2.1
NSW,2/5/2021,0
NSW,2/6/2021,1
NSW,2/7/2021,1
NSW,2/8/2021,4.42
NSW,2/9/2021,26.66733333
NSW,2/10/2021,44.64
NSW,2/11/2021,18.788
NSW,2/12/2021,6.16
NSW,2/13/2021,0
NSW,2/14/2021,0
NSW,2/15/2021,12.6
NSW,2/16/2021,13.27727273
NSW,2/17/2021,24.72
NSW,2/18/2021,9.516
NSW,2/19/2021,6.944
NSW,2/20/2021,7.75
NSW,2/21/2021,9.52
NT,2/1/2021,0
NT,2/2/2021,0
NT,2/3/2021,8.9175
NT,2/4/2021,34.15111111
NT,2/5/2021,0
NT,2/6/2021,0
NT,2/7/2021,0
NT,2/8/2021,0
NT,2/9/2021,0
NT,2/10/2021,0
NT,2/11/2021,0
NT,2/12/2021,0
NT,2/13/2021,0
NT,2/14/2021,0
NT,2/15/2021,0
NT,2/16/2021,0
NT,2/17/2021,0
NT,2/18/2021,0
NT,2/19/2021,0
NT,2/20/2021,0
NT,2/21/2021,0
QL,2/1/2021,23.93111111
QL,2/2/2021,26.79714286
QL,2/3/2021,23.32
QL,2/4/2021,14.208
QL,2/5/2021,2.21
QL,2/6/2021,21.24
QL,2/7/2021,1.8
QL,2/8/2021,13.19666667
QL,2/9/2021,1
QL,2/10/2021,5.28
QL,2/11/2021,17.92
QL,2/12/2021,15.985
QL,2/13/2021,1
QL,2/14/2021,0
QL,2/15/2021,37.65384615
QL,2/16/2021,7.611428571
QL,2/17/2021,22.53315789
QL,2/18/2021,5.98
QL,2/19/2021,0
QL,2/20/2021,15.16666667
QL,2/21/2021,11.284
SA,2/1/2021,0
SA,2/2/2021,3.75
SA,2/3/2021,0
SA,2/4/2021,0
SA,2/5/2021,0
SA,2/6/2021,0
SA,2/7/2021,0
SA,2/8/2021,0
SA,2/9/2021,0
SA,2/10/2021,0
SA,2/11/2021,0
SA,2/12/2021,1.1
SA,2/13/2021,0
SA,2/14/2021,0
SA,2/15/2021,0
SA,2/16/2021,0
SA,2/17/2021,15.12
SA,2/18/2021,0
SA,2/19/2021,0
SA,2/20/2021,0
SA,2/21/2021,0
TA,2/1/2021,0
TA,2/2/2021,0
TA,2/3/2021,0
TA,2/4/2021,0
TA,2/5/2021,0
TA,2/6/2021,0
TA,2/7/2021,0
TA,2/8/2021,1.68
TA,2/9/2021,0
TA,2/10/2021,0
TA,2/11/2021,0
TA,2/12/2021,0
TA,2/13/2021,0
TA,2/14/2021,1.1
TA,2/15/2021,0
TA,2/16/2021,0
TA,2/17/2021,0
TA,2/18/2021,0
TA,2/19/2021,0
TA,2/20/2021,0
TA,2/21/2021,0
VI,2/1/2021,0
VI,2/2/2021,23.56
VI,2/3/2021,0
VI,2/4/2021,0
VI,2/5/2021,0
VI,2/6/2021,0
VI,2/7/2021,0
VI,2/8/2021,0
VI,2/9/2021,0
VI,2/10/2021,0
VI,2/11/2021,0
VI,2/12/2021,0
VI,2/13/2021,0
VI,2/14/2021,0
VI,2/15/2021,0
VI,2/16/2021,3.9
VI,2/17/2021,1.43
VI,2/18/2021,3.626666667
VI,2/19/2021,0
VI,2/20/2021,0
VI,2/21/2021,0
WA,2/1/2021,217.6616162
WA,2/2/2021,81.27
WA,2/3/2021,42.94074074
WA,2/4/2021,33.17
WA,2/5/2021,0
WA,2/6/2021,3.45
WA,2/7/2021,0
WA,2/8/2021,0
WA,2/9/2021,1.43
WA,2/10/2021,0
WA,2/11/2021,0
WA,2/12/2021,0
WA,2/13/2021,2.205
WA,2/14/2021,1.68
WA,2/15/2021,1.43
WA,2/16/2021,5.61
WA,2/17/2021,1
WA,2/18/2021,1.21
WA,2/19/2021,0
WA,2/20/2021,1.43
WA,2/21/2021,1.1
