Region,Date,Estimated_fire_area
NSW,1/16/2021,11.16
NSW,1/17/2021,5
NSW,1/18/2021,3.84
NSW,1/19/2021,6.075
NSW,1/20/2021,8.7
NSW,1/21/2021,40.888
NSW,1/22/2021,10
NT,1/16/2021,0
NT,1/17/2021,1
NT,1/18/2021,1.43
NT,1/19/2021,0
NT,1/20/2021,0
NT,1/21/2021,0
NT,1/22/2021,0
QL,1/16/2021,77.19034483
QL,1/17/2021,40.35
QL,1/18/2021,4
QL,1/19/2021,15.49166667
QL,1/20/2021,18.74666667
QL,1/21/2021,27.11272727
QL,1/22/2021,20.088
SA,1/16/2021,0
SA,1/17/2021,0
SA,1/18/2021,1.43
SA,1/19/2021,1.32
SA,1/20/2021,1
SA,1/21/2021,1
SA,1/22/2021,1
TA,1/16/2021,0
TA,1/17/2021,0
TA,1/18/2021,0
TA,1/19/2021,0
TA,1/20/2021,1
TA,1/21/2021,0
TA,1/22/2021,0
VI,1/16/2021,0
VI,1/17/2021,0
VI,1/18/2021,1
VI,1/19/2021,0
VI,1/20/2021,2.64
VI,1/21/2021,0
VI,1/22/2021,0
WA,1/16/2021,21.85846154
WA,1/17/2021,14.05333333
WA,1/18/2021,30.8
WA,1/19/2021,2
WA,1/20/2021,6.72
WA,1/21/2021,198.3621818
WA,1/22/2021,59.35533333
