Region_x,Date_x,Estimated_fire_area,Mean_estimated_fire_brightness,Mean_estimated_fire_radiative_power,Mean_confidence,Std_confidence,Var_confidence,Count,Replaced,DateTime,Date_y,Region_y,Parameter,count()[unit: km^2],min(),max(),mean(),2nd moment
NSW,1/4/2005,26.04,312.2666667,42.4,78.66666667,2.886751346,8.333333332999999,3,R,2005-01-04,2005-01-04,NSW,Temperature,800234.3489860408,12.49579906463623,28.945487976074208,23.055527492303014,541.012822231672
NSW,1/5/2005,132.89,322.475,62.3625,85.5,8.088792952999999,65.42857143,8,R,2005-01-05,2005-01-05,NSW,Temperature,800234.3489860408,9.61180019378662,29.510120391845703,22.425764814943367,516.2673075581996
NSW,1/6/2005,16.56,325.2666667,38.4,78.33333333,3.2145502539999997,10.33333333,3,R,2005-01-06,2005-01-06,NSW,Temperature,800234.3489860408,9.024039268493652,26.98269844055176,20.621404881254094,437.00651726686425
NSW,1/7/2005,31.32,313.87,33.8,92.2,7.529940239,56.7,5,R,2005-01-07,2005-01-07,NSW,Temperature,800234.3489860408,8.691215515136719,24.7520694732666,19.632721833527697,393.3841394701123
NSW,1/8/2005,16.2,337.3833333,122.53333329999998,91.0,7.937253932999999,63.0,3,R,2005-01-08,2005-01-08,NSW,Temperature,800234.3489860408,10.82134246826172,26.472469329833984,21.477315298351034,473.33904308027587
NSW,1/9/2005,96.05,314.75714289999996,64.54285714,83.14285714,6.175990377000001,38.14285714,7,R,2005-01-09,2005-01-09,NSW,Temperature,800234.3489860408,12.939730644226074,30.777299880981445,23.235867518441076,562.3783328009745
NSW,1/10/2005,182.88,324.8,58.55454545,91.45454545,6.088737741,37.07272727,11,R,2005-01-10,2005-01-10,NSW,Temperature,800234.3489860408,12.002264976501465,33.06554412841797,24.66672018162641,640.1330431197117
NSW,1/11/2005,524.55,318.446875,66.8125,91.0,10.1324561,102.66666670000001,16,R,2005-01-11,2005-01-11,NSW,Temperature,800234.3489860408,14.262208938598633,35.088062286376946,26.97438775933897,758.0821166836251
NSW,1/12/2005,214.32,323.2384615,40.60769231,87.76923077,8.623164985,74.35897436,13,R,2005-01-12,2005-01-12,NSW,Temperature,800234.3489860408,16.758089065551758,35.98481750488281,27.88175214453734,797.7768554799103
NSW,1/13/2005,639.6,325.3766667,87.57333333,86.66666667,7.499206307000001,56.23809524,15,R,2005-01-13,2005-01-13,NSW,Temperature,800234.3489860408,18.57637596130371,37.92826461791992,30.36266145484361,944.8468105092747
NSW,1/14/2005,371.2,324.835,98.65,88.3,7.087547766,50.23333333,10,R,2005-01-14,2005-01-14,NSW,Temperature,800234.3489860408,19.014741897583008,38.053138732910156,30.947368092549148,977.9822646378406
NSW,1/15/2005,17.2,326.9625,23.5,81.75,4.924428901000001,24.25,4,R,2005-01-15,2005-01-15,NSW,Temperature,800234.3489860408,17.88812828063965,35.62238693237305,28.49493157563303,832.4260735753844
